Year,mode,input_panel_orientation,capacity_source,round,received_demand_total,desired_output_total,realized_output_total,unmet_capacity_total,capacity_penalty_total,supplier_demand_total,absolute_supplier_demand_total,residual_share,mean_capacity_stress,median_capacity_stress,share_capacity_binding,share_capacity_missing,converged
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,59,57658.75441395213,57658.75441395213,57658.75441395213,0.0,0.0,54150.74741937419,54150.74741937419,1.9191201042971295e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,60,54150.74741937419,54150.74741937419,54150.74741937419,0.0,0.0,50862.60971598654,50862.60971598654,1.8025874344265212e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,61,50862.60971598654,50862.60971598654,50862.60971598654,0.0,0.0,47780.028717935966,47780.028717935966,1.6933397610626153e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,62,47780.028717935966,47780.028717935966,47780.028717935966,0.0,0.0,44889.672602674465,44889.672602674465,1.5909046000773414e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,63,44889.672602674465,44889.672602674465,44889.672602674465,0.0,0.0,42179.11791567138,42179.11791567138,1.4948416602006649e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,64,42179.11791567138,42179.11791567138,42179.11791567138,0.0,0.0,39636.783143250446,39636.783143250446,1.4047404888203224e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,65,39636.783143250446,39636.783143250446,39636.783143250446,0.0,0.0,37251.86767980502,37251.86767980502,1.3202183089600742e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,66,37251.86767980502,37251.86767980502,37251.86767980502,0.0,0.0,35014.295681746335,35014.295681746335,1.240918029445366e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,67,35014.295681746335,35014.295681746335,35014.295681746335,0.0,0.0,32914.664357607144,32914.664357607144,1.1665064122877817e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,68,32914.664357607144,32914.664357607144,32914.664357607144,0.0,0.0,30944.196293174176,30944.196293174176,1.096672383072226e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,69,30944.196293174176,30944.196293174176,30944.196293174176,0.0,0.0,29094.695453506658,29094.695453506658,1.0311254716541493e-06,1.0,1.0,0.0,0.0,False
1995,transpose_row_output_fd_without_inventory,transpose_row_fd_without_inventory,input_panel:transpose_row_fd_without_inventory:K:data\abm_v3\inputs\abm_v3_historical_panel_1995_2016_transpose_row_fd_without_inventory.parquet,70,29094.695453506658,29094.695453506658,29094.695453506658,0.0,0.0,27358.506541209328,27358.506541209328,9.695943718035228e-07,1.0,1.0,0.0,0.0,False
